Season,Episode,Title,Airdate,Synopsis,Director,Writers
8,13,Freedom,"February 1, 2011.",The NCIS team investigate when a Marine is found dead in his backyard and discover that the victim's wife is hiding a dark secret.,"Craig Ross, Jr",Nicole Mirante-Matthews
8,14,A Man Walks into a Bar,"February 8, 2011.","As the NCIS team investigate the murder of a Naval Commander who was due to retire in eighteen months, they also find themselves going through a series of mandatory psychological evaluations with the sessions themselves also revealing personal issues as well as a connection to an incident in the past that ultimately changed the team forever.","James Whitmore, Jr",Gary Glasberg
8,15,Defiance,"February 15, 2011.","A botched assassination attempt on the life of a Belgravian defense minister, the kidnapping of his daughter who is a college student in the United States and the death of a Marine leads to a very chaotic case for the NCIS team.",Dennis Smith,George Schenck & Frank Cardea
8,16,Kill Screen,"February 22, 2011.","When extracted teeth and dismembered fingers belonging to a Marine are found at a crime scene, the NCIS team investigative, soon uncovering a connection to a hugely popular video game along with secret codes in the game that could not only jeopardize national security but could also be used to launch an attack on the Pentagon's computers.",Tony Wharmby,Steven Kriozere & Steven D. Binder
8,17,One Last Score,"March 1, 2011.","While the team investigates the death of a former investigative assistant who was profiting from information concerning a high-profile fraud case, a new NCIS agent who's also the leader of another team joins the office.",Michael Weatherly,Jesse Stern
8,18,Out of the Frying Pan,"March 22, 2011.",The NCIS team are tasked with investigating the murder behind a retired Marine Colonel with the prime suspect being the victim's teenage son but Gibbs soon finds himself questioning Vance's motives for giving the team the case.,Terrence O'Hara,Leon Carroll Jr. & Reed Steiner & Christopher J. Waild
8,19,Tell-All,"March 29, 2011.","While processing the scene where the body a murdered naval officer was found, the NCIS team discover a cryptic message written in the victim's blood which is also connected to a case involving missing weapons in Afghanistan with the investigation intensifying when Tony and Ziva discover the body of an agent in her home.",Kevin Rodney Sullivan,Andrew Bartels
8,20,Two-Faced,"April 5, 2011.",The team investigate the murder of a Seaman and soon discover that the death may be connected to other international port-related killings that fellow NCIS Special Agent EJ Barrett and her team are currently investigating.,Thomas J. Wright,Nicole Mirante-Matthews & Reed Steiner
8,21,Dead Reflection,"April 12, 2011.","The NCIS team investigate when a Naval officer is found dead in an office in the Pentagon with her murder being recorded via security camera. It appears to be a simple and easy case but then the team later discover that their main suspect has died, having suffered an apparent heart attack, leading them to suspect that someone else is responsible for killing the Naval officer and as this goes on, Agent Barrett's team continue investigating the Port to Port serial killings, culminating in a shocking revelation being revealed, one that leaves all the NCIS personnel stunned.",William Webb,George Schenck & Frank Cardea
8,22,Baltimore,"May 3, 2011.","When his former partner is found dead, a possible victim of the Port-to-Port Killer, DiNozzo confronts his past as a Baltimore detective and finds himself taking a trip down memory lane as he remembers the events that led to him becoming an NCIS Special Agent.",Terrence O'Hara,Steven D. Binder
8,23,Swan Song,"May 10, 2011.","When the badly decayed remains of an NCIS Special Agent are found in a forest, the NCIS team help fellow NCIS Special Agent Erica Jane Barrett and her team investigate the killing which has links to the ongoing Port to Port serial killer case with things taking an intense turn when new evidence comes to light suggesting that the ""Port to Port"" killer has infiltrated the Navy Yard and therefore the NCIS agency with Gibbs and the team soon suffering a personal and devastating tragedy when a close friend becomes the killer's latest victim while Barrett and her team search for a potential witness, only to find themselves in grave danger when Jonas Cobb strikes.",Tony Wharmby,Jesse Stern
8,24,Pyramid,"May 17, 2011.","As Jonas Cobb, the ""Port to Port"" killer continues his increasingly vicious campaign of revenge against those responsible for Operation Frankenstein, the NCIS team struggle to stop Cobb once and for all but things spin out of control when Cobb takes two personnel associated with NCIS hostage, forcing the team into a deadly game of cat and mouse against Cobb as they fight to save their kidnapped colleagues before it's too late.",Dennis Smith,Gary Glasberg
9,1,Nature of the Beast,"September 20, 2011.","After months of working with the new SECNAV on a top-secret, undercover and very classified assignment, DiNozzo finds himself in a D.C. hospital, suffering from amnesia and also an injured arm while also carrying a NCIS badge stained with the blood of a fellow NCIS Special Agent. It now falls to Gibbs and the NCIS team with help from Doctor Rachel Cranston to find out what really happened.",Tony Wharmby,Gary Glasberg
9,2,Restless,"September 27, 2011.","A beloved Marine is murdered at his homecoming party, prompting the NCIS team to investigate and they soon discover evidence of a botched kidnapping attempt of which the victim's adopted sister was the target but things change when the team discover that the sister is harboring secrets about her past.","James Whitmore, Jr",Steven D. Binder
9,3,The Penelope Papers,"October 4, 2011.","When a naval officer is murdered, the team discover a startling connection between the victim and McGee's grandmother before they realize that the two have a connection to a project that began some thirty years ago while Jimmy Palmer struggles with his upcoming wedding.",Arvin Brown,Nicole Mirante-Matthews
9,4,Enemy on the Hill,"October 11, 2011.",The team must find out who hired a hitman to kill a Navy Lieutenant Commander while Abby goes through a series of tests and uncovers some startling secrets concerning her own family history which leaves her stunned.,Dennis Smith,George Schenck & Frank Cardea
9,5,Safe Harbor,"October 18, 2011.","NCIS and CGIS conduct a joint-investigation when a Coast Guard officer is shot dead during a nighttime examination of a mysterious ship with the NCIS team soon discovering that Lebanese family has been secretly stowing away on the ship and begin questioning them but some of the family are not who they claim to be. Things later take a turn for the worse when Abby discovers evidence suggesting that a potentially devastating terrorist attack is about to happen, one that if successful could completely destroy half of the Norfolk Naval Base while Tony, McGee and Ziva with Borin's help attempt to find the right woman for Gibbs.",Terrence O'Hara,Reed Steiner & Christopher J. Waild
