name,actor,role,cast,episode_key
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,6x6
Ziva David,Cote de Pablo,Mossad/NCIS Liaison Officer and a member of the NCIS Major Case Response Team.,Series_Regulars,6x6
Timothy McGee,Sean Murray,Junior Special Agent of the NCIS Major Case Response team.,Series_Regulars,6x6
Abigail Sciuto,Pauley Perrette,Forensic Specialist associated with the NCIS Major Case Response Team.,Series_Regulars,6x6
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,6x6
Donald Mallard,David McCallum,Chief Medical Examiner associated with the NCIS Major Case Response Team.,Series_Regulars,6x6
Michelle Lee,Liza Lapira,NCIS Special Agent.,Recurring_Cast,6x7
Brent Langer,Jonathan LaPaglia,Deceased NCIS Agent.,Recurring_Cast,6x7
Paula Cassidy,Jessica Steen,Deceased NCIS Agent. Uncredited role.,Recurring_Cast,6x7
Dwayne Wilson,Rey Valentin,Rookie Agent on a visit from FLETC.,Guest_Cast,6x7
Paul Harris,Eric Martsolf,The bank manager.,Guest_Cast,6x7
George Linden,Anthony Montgomery,Corporal in the United States Marine Corps.,Guest_Cast,6x7
Elderly Lady,Peggy Stewart,An old woman who Dwayne Wilson shielded to prevent her from getting hurt during the gunfight between Gibbs' team and the team James Meyers led,Guest_Cast,6x7
Eddie Banasek,Lenny Schmidt,A man delivering money to the bank and who was seen talking to Ray Vittorio at the beginning of the episode.,Guest_Cast,6x7
James Meyers,Louis Iacoviello,"A criminal who used ""Curtis Rayner"" as an alias.",Guest_Cast,6x7
Grace Penland,Chelsey Crisp,A woman who appears in the episode.,Guest_Cast,6x7
Attractive Recruit,Helena Barrett,Rookie Agent on a visit from FLETC.,Guest_Cast,6x7
Jenny Page,Melonie Mack,Tommy Page's mother.,Guest_Cast,6x7
Tommy Page,Tanner Blaze,A young boy who NCIS interview about the bank robbery and who is the son of Jenny Page.,Guest_Cast,6x7
Bartender,Peter Gannon,Bartender.,Guest_Cast,6x7
Joey Vittorio,Billy Finnigan,Ray Vittorio's son.,Guest_Cast,6x7
Ray Vittorio,Michael Swan,Bank security guard and the main murder victim as well as the father of Joey Vittorio.,Guest_Cast,6x7
Didi,Julian Berlin,Uncredited role.,Guest_Cast,6x7
Agent,Richard Kreps,Uncredited role.,Guest_Cast,6x7
Leroy Jethro Gibbs,Mark Harmon,NCIS Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,6x7
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,6x7
Ziva David,Cote de Pablo,Mossad/NCIS Liaison Officer and a member of the NCIS Major Case Response Team.,Series_Regulars,6x7
Timothy McGee,Sean Murray,Junior Special Agent of the NCIS Major Case Response team.,Series_Regulars,6x7
Abigail Sciuto,Pauley Perrette,Forensic Specialist associated with the NCIS Major Case Response Team.,Series_Regulars,6x7
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,6x7
Donald Mallard,David McCallum,Chief Medical Examiner associated with the NCIS Major Case Response Team.,Series_Regulars,6x7
James Palmer,Brian Dietzen,"Assistant Medical Examiner, NCIS.",Recurring_Cast,6x8
Michelle Lee,Liza Lapira,"Special Agent, NCIS, who in the last few seconds of the episode is finally exposed as being the NCIS mole.",Recurring_Cast,6x8
Didi,Julian Berlin,A delivery woman.,Recurring_Cast,6x8
Phillip Davenport,Jude Ciccolella,Secretary of the Navy or SECNAV who is subordinate to the Secretary of Defense.,Guest_Cast,6x8
Robert Deckard,Rich McDonald,SECNAV's assistant.,Guest_Cast,6x8
Leroy Jethro Gibbs,Mark Harmon,NCIS Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,6x8
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,6x8
Ziva David,Cote de Pablo,Mossad/NCIS Liaison Officer and a member of the NCIS Major Case Response Team.,Series_Regulars,6x8
Timothy McGee,Sean Murray,Junior Special Agent of the NCIS Major Case Response team.,Series_Regulars,6x8
Abigail Sciuto,Pauley Perrette,Forensic Specialist associated with the NCIS Major Case Response Team.,Series_Regulars,6x8
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,6x8
Donald Mallard,David McCallum,Chief Medical Examiner associated with the NCIS Major Case Response Team.,Series_Regulars,6x8
Michelle Lee,Liza Lapira,NCIS Special Agent.,Recurring_Cast,6x9
Phillip Davenport,Jude Ciccolella,Secretary of the Navy. His voice is heard during a phone call to Vance. Uncredited role.,Recurring_Cast,6x9
Ted Bankston,David Eigenberg,A former government employee with the FBI who is later revealed to be Lee's handler as well as the one who kidnapped Lee's adopted sister.,Guest_Cast,6x9
Amanda Lee,Tiffany Espensen,Michelle Lee's younger sister.,Guest_Cast,6x9
Unnamed Young Girl,Kathrine Herzer,A girl who appears in the episode.,Guest_Cast,6x9
Paul Winton,Troy Brenna,Ted Bankston's partner.,Guest_Cast,6x9
Bus Driver,Allan Graf,Uncredited role.,Guest_Cast,6x9
Leroy Jethro Gibbs,Mark Harmon,NCIS Special Agent in charge of the NCIS Major Case Response Team. Is left badly wounded after getting into a shootout between himself and Ted Bankston.,Series_Regulars,6x9
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,6x9
Ziva David,Cote de Pablo,Mossad/NCIS Liaison Officer and a member of the NCIS Major Case Response Team.,Series_Regulars,6x9
Timothy McGee,Sean Murray,Junior Special Agent of the NCIS Major Case Response team.,Series_Regulars,6x9
Abigail Sciuto,Pauley Perrette,Forensic Specialist associated with the NCIS Major Case Response Team.,Series_Regulars,6x9
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,6x9
Donald Mallard,David McCallum,Chief Medical Examiner associated with the NCIS Major Case Response Team.,Series_Regulars,6x9
Dale Kapp,Antonio Sabàto Jr.,A lawyer and Tabitha Summer's husband who was responsible for killing Petty Officer Collins. Is later found dead in Greg Collins's backyard with a fractured skull.,Guest_Cast,6x10
Tabitha Summers,Tracy Scoggings,Kapp's wife.,Guest_Cast,6x10
Sam Bennett,Brian Letscher,A homeless man/worker on a ship who witnessed Greg Collins being murdered. Is originally thought to be the killer but is later found innocent.,Guest_Cast,6x10
Adam Parker,Kai Lennox,The man responsible for killing Dale Kapp.,Guest_Cast,6x10
Bruce Soloman,Andrew Rothenberg,A man who appears in the episode.,Guest_Cast,6x10
Jake Munro,John Henry Canavan,A man who appears in the episode.,Guest_Cast,6x10
Greg Collins,Christopher McDaniel,The first victim and a Petty Officer in the United States Navy.,Guest_Cast,6x10
Carrie,Michelle Mulitz,A girl who appears in the episode.,Guest_Cast,6x10
Lucas,Brian R. Norris,A boy who appears in the episode.,Guest_Cast,6x10
Unnamed Popular Girl,Brie Mattson,A girl who appears in the episode.,Guest_Cast,6x10
Leroy Jethro Gibbs,Mark Harmon,NCIS Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,6x10
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,6x10
Ziva David,Cote de Pablo,Mossad/NCIS Liaison Officer and a member of the NCIS Major Case Response Team.,Series_Regulars,6x10
Timothy McGee,Sean Murray,Junior Special Agent of the NCIS Major Case Response team.,Series_Regulars,6x10
Abigail Sciuto,Pauley Perrette,Forensic Specialist associated with the NCIS Major Case Response Team.,Series_Regulars,6x10
Leon Vance,Rocky Carroll,Director of NCIS. Credited but doesn't appear in the episode.,Series_Regulars,6x10
Donald Mallard,David McCallum,Chief Medical Examiner associated with the NCIS Major Case Response Team.,Series_Regulars,6x10
James Palmer,Brian Dietzen,"Assistant Medical Examiner, NCIS.",Recurring_Cast,6x11
Jackson Gibbs,Ralph Waite,Father of NCIS Special Agent Leroy Jethro Gibbs and owner of Stillwater General Store. An uncredited voice-over in the concluding scenes of this episode.,Recurring_Cast,6x11
Ned Quinn,Peter Coyote,Petty Officer in the United States Navy.,Guest_Cast,6x11
Connie Quinn Wheeler,Kay Lenz,Ex-wife of Ned Quinn.,Guest_Cast,6x11
Melissa Wheeler Fox,Carla Gallo,Ned Quinn's daughter.,Guest_Cast,6x11
Justin Kemp,Ryan Bittle,"Detective with the Metro Police and son in-law of a rival of the victims, whose wife had an affair with DiNozzo.",Guest_Cast,6x11
Harvey Ames,Eric Stonestreet,Security Guard who works for the security service that patrols the Taylor's subdivison and is the one responsible for killing the Taylors.,Guest_Cast,6x11
Greg,Wesley Jonathan,Delivery boy who sees Ned Quinn at the crime scene along with the bodies of the dead couple.,Guest_Cast,6x11
Hector,Billy Stevenson,A man who appears in the episode.,Guest_Cast,6x11
Pryor,Charles Carroll,Psychiatrist and Quinn's former therapist who was treating him for PTSD.,Guest_Cast,6x11
Leroy Jethro Gibbs,Mark Harmon,NCIS Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,6x11
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,6x11
Ziva David,Cote de Pablo,Mossad/NCIS Liaison Officer and a member of the NCIS Major Case Response Team.,Series_Regulars,6x11
Timothy McGee,Sean Murray,Junior Special Agent of the NCIS Major Case Response team.,Series_Regulars,6x11
Abigail Sciuto,Pauley Perrette,Forensic Specialist associated with the NCIS Major Case Response Team.,Series_Regulars,6x11
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,6x11
Donald Mallard,David McCallum,Chief Medical Examiner associated with the NCIS Major Case Response Team.,Series_Regulars,6x11
Jack Kale,Jon Huertas,Sergeant in the United States Marine Corps.,Recurring_Cast,6x12
Gene Halsey,Robert Wisdom,Prison Warden.,Guest_Cast,6x12
Celia Roberts,Martha Hackett,Inmate.,Guest_Cast,6x12
Sharon Bellows,Stephanie Niznik,Inmate.,Guest_Cast,6x12
Zoe Bellows,Rebekah Brandes,Sharon Bellows's daughter.,Guest_Cast,6x12
Angela Lopez,Janina Gavankar,Inmate.,Guest_Cast,6x12
Brenda Carter,Lisa Rieffel,Prison Guard and an old school friend of McGee's.,Guest_Cast,6x12
Judy Williams,Michael Hyatt,Inmate.,Guest_Cast,6x12
Gordon Lambro,Channon Roe,Sergeant and Prison Guard who was also a drug dealer.,Guest_Cast,6x12
Aaron,Kyle Searles,Director.,Guest_Cast,6x12
Kayla Vicari,Tonya Cornelisse,Inmate.,Guest_Cast,6x12
Oliver Newcomb,Isaiah Mustafa,A man who appears in the episode.,Guest_Cast,6x12
Rhiannon,Jamie Renée Smith,Amateur actress who discovers Lt. Neil Poletto's body.,Guest_Cast,6x12
Female Inmate,Joy Christie Di Cresce,An inmate in the prison. Uncredited role.,Guest_Cast,6x12
Unnamed Guard 1,Elizabeth Reynolds,Prison Guard. Uncredited role.,Guest_Cast,6x12
Leroy Jethro Gibbs,Mark Harmon,NCIS Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,6x12
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,6x12
Ziva David,Cote de Pablo,Mossad/NCIS Liaison Officer and a member of the NCIS Major Case Response Team.,Series_Regulars,6x12
Timothy McGee,Sean Murray,Junior Special Agent of the NCIS Major Case Response team.,Series_Regulars,6x12
Abigail Sciuto,Pauley Perrette,Forensic Specialist associated with the NCIS Major Case Response Team.,Series_Regulars,6x12
Leon Vance,Rocky Carroll,"Director of NCIS. Despite being credited, Carroll does not appear in this episode.",Series_Regulars,6x12
Donald Mallard,David McCallum,Chief Medical Examiner associated with the NCIS Major Case Response Team.,Series_Regulars,6x12
James Palmer,Brian Dietzen,"Assistant Medical Examiner, NCIS.",Recurring_Cast,6x13
Trent Kort,David Dayan Fisher,Official with the Central Intelligence Agency. This episode is his first appearance in season six.,Recurring_Cast,6x13
Jordan Hampton,Torri Higginson,Substitute Medical Examiner for Dr. Mallard and friend of Ducky's as well as a Doctor.,Recurring_Cast,6x13
Marcin Jerek,William Morgan Sheppard,"Former CIA Interrogator who is nicknamed ""Mr. Pain"" who is Trent Kort's mentor.",Guest_Cast,6x13
Qasim Saydia,Bernard White,Afghan Ambassador to the United States.,Guest_Cast,6x13
Mosuma Daoub,Naz Deravian,Afghan National who stabbed Ducky at a crime scene and later accused him of committing war crimes. Javid's sister.,Guest_Cast,6x13
Ezmaray Daoub,Dariush Kashani,Afghan National and husband of Mosuma Daoub.,Guest_Cast,6x13
Cheryl Young,Kym Hoy,"Ex-fiancée of Petty Officer Kevin Lim, who stabbed him to death for having an affair.",Guest_Cast,6x13
Kevin Lim,Tim Chiou,Petty Officer in the United States Navy. Corpse Ducky is examining when he is stabbed in the hand by Mosuma Daoub.,Guest_Cast,6x13
Jeannette,Sharni Vinson,Cameo or Minor Role,Guest_Cast,6x13
Javid,Nick McDow,Young Afghan Man who Marcin Jerek tortured and eventually killed. He is the brother of Mosuma Daoub. ,Guest_Cast,6x13
Young Afghani Man,Salman Bokhari,A man who appears in the episode.,Guest_Cast,6x13
Leroy Jethro Gibbs,Mark Harmon,NCIS Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,6x13
Anthony DiNozzo,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,6x13
Ziva David,Cote de Pablo,Mossad/NCIS Liaison Officer and a member of the NCIS Major Case Response Team.,Series_Regulars,6x13
Timothy McGee,Sean Murray,Junior Special Agent of the NCIS Major Case Response team.,Series_Regulars,6x13
Abigail Sciuto,Pauley Perrette,Forensic Specialist associated with the NCIS Major Case Response Team.,Series_Regulars,6x13
Leon Vance,Rocky Carroll,"Director of NCIS. Despite being credited, Carroll does not appear in this episode.",Series_Regulars,6x13
Donald Mallard,David McCallum,Chief Medical Examiner associated with the NCIS Major Case Response Team.,Series_Regulars,6x13
James Palmer,Brian Dietzen,Assistant Medical Examiner.,Recurring_Cast,6x14
Kevin Nelson,Chris Carmack,Rebecca Jennings's fiancé and also Captain Thomas Jennings and Brandon Sykes's killer.,Guest_Cast,6x14
Thomas Jennings,Michael Toland,Captain in the United States Navy and the main murder victim.,Guest_Cast,6x14
Rebecca Jennings,Christine Woods,Daughter of the victim.,Guest_Cast,6x14
Adrianna Lopez,Eva Tamargo,Cuban woman and Captain Jennings's girlfriend who came to America to pose to be his maid.,Guest_Cast,6x14
Jessica Shore,Danneel Ackles,Lab Assistant working with the victim and fiancee of Brandon Sykes.,Guest_Cast,6x14
Rod Daniels,James Urbaniak,Scientist and Project Supervisor as well as a Doctor.,Guest_Cast,6x14
Lee Chandler,David Pease,Sheriff.,Guest_Cast,6x14
Brandon Sykes,Cole David,Criminal who was engaged to Jessica Shore.,Guest_Cast,6x14
Leroy Jethro Gibbs,Mark Harmon,NCIS Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,6x14
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,6x14
Ziva David,Cote de Pablo,Mossad/NCIS Liaison Officer and a member of the NCIS Major Case Response Team.,Series_Regulars,6x14
Timothy McGee,Sean Murray,Junior Special Agent of the NCIS Major Case Response team.,Series_Regulars,6x14
Abigail Sciuto,Pauley Perrette,Forensic Specialist associated with the NCIS Major Case Response Team.,Series_Regulars,6x14
Leon Vance,Rocky Carroll,"Director of NCIS. Despite being credited, Carroll does not appear in this episode.",Series_Regulars,6x14
Donald Mallard,David McCallum,Chief Medical Examiner associated with the NCIS Major Case Response Team.,Series_Regulars,6x14
Michael Franks,Muse Watson,Former NIS/NCIS Supervisory Agent who is Gibbs's mentor.,Recurring_Cast,6x15
James Palmer,Brian Dietzen,Assistant Medical Examiner.,Recurring_Cast,6x15
Vincente Medina,Kurt Caceres,Staff Sergeant in the United States Marine Corps and also Marine Private Tomas Tamayo's superior.,Guest_Cast,6x15
Tomas Tamayo,Jesse Garcia,"Son of Rosa Tamayo, a woman who saved Gibbs's life. He is a Private First Class in the United States Marine Corps and a former gang member with the PC's.",Guest_Cast,6x15
Rosa Tamayo,Janine Larina,Cameo or Minor Role,Guest_Cast,6x15
Maggie Scott,Kari Coleman,Tomas Tamayo's foster mother.,Guest_Cast,6x15
Victor Carmado,Joseph Julian Soria,"Rival Gang Leader. Called ""Popeye"".",Guest_Cast,6x15
Pete Lewis,Chad Todhunter,Found the body.,Guest_Cast,6x15
Glenda,Ana Mercedes,A woman who appears in the episode.,Guest_Cast,6x15
Mickey Diaz,Hector A. Garcia,Popeye's under-boss.,Guest_Cast,6x15
Chuy,Eloy Mendez,Street Thug who is one of Popeye's bodyguards.,Guest_Cast,6x15
Rico,Frank Alvarez,Street Thug and Popeye's other bodyguard.,Guest_Cast,6x15
Unnamed Agent,Elliott J. Brown,Federal Agent. Uncredited role.,Guest_Cast,6x15
Leroy Jethro Gibbs,Mark Harmon,NCIS Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,6x15
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,6x15
Ziva David,Cote de Pablo,Mossad/NCIS Liaison Officer and a member of the NCIS Major Case Response Team.,Series_Regulars,6x15
Timothy McGee,Sean Murray,Junior Special Agent of the NCIS Major Case Response team.,Series_Regulars,6x15
Abigail Sciuto,Pauley Perrette,Forensic Specialist associated with the NCIS Major Case Response Team.,Series_Regulars,6x15
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,6x15
Donald Mallard,David McCallum,Chief Medical Examiner associated with the NCIS Major Case Response Team.,Series_Regulars,6x15
James Palmer,Brian Dietzen,Assistant Medical Examiner.,Recurring_Cast,6x16
